medbio_id	post	pre
m42301	0159.AA34.42301.20201016.SAL	NA
m42311	0159.AA34.42311.20201027.SAL	NA
m42328	0159.AA34.42328.20201020.SAL	NA
m42329	0159.AA34.42329.20201025.SAL	NA
m42349	0159.AA34.42349.20201022.SAL	NA
m42362	0159.AA34.42362.20200821.SAL	NA
m42372	0159.AA34.42372.20201015.SAL	NA
m42378	0159.AA34.42378.20201023.SAL	NA
m42384	0159.AA34.42384.20201019.SAL	NA
m42394	0159.AA34.42394.20201028.SAL	NA
m42398	0159.AA34.42398.20201022.SAL	NA
m42400	0159.AA34.42400.20201019.SAL	NA
m42402	0159.AA34.42402.20201015.SAL	NA
m42409	0159.AA34.42409.20201011.SAL	NA
m42425	0159.AA34.42425.20201010.SAL	NA
m42433	0159.AA34.42433.20200724.SAL	NA
m42435	0159.AA34.42435.20200727.SAL	NA
m42436	0159.AA34.42436.20201020.SAL	NA
m42437	0159.AA34.42437.20200829.SAL	NA
m42439	0159.AA34.42439.20200803.SAL	NA
m42444	0159.AA34.42444.20200909.SAL	NA
m42447	0159.AA34.42447.20200803.SAL	NA
m42451	0159.AA34.42451.20200805.SAL	NA
m42453	0159.AA34.42453.20200824.SAL	NA
m42459	0159.AA34.42459.20200904.SAL	NA
m42470	0159.AA34.42470.20200822.SAL	NA
m42471	0159.AA34.42471.20200819.SAL	NA
m42473	0159.AA34.42473.20200819.SAL	NA
m42475	0159.AA34.42475.20200823.SAL	NA
m42478	0159.AA34.42478.20200909.SAL	NA
m42485	0159.AA34.42485.20200820.SAL	NA
m42487	0159.AA34.42487.20200820.SAL	NA
m42489	0159.AA34.42489.20200820.SAL	NA
m42490	0159.AA34.42490.20200821.SAL	NA
m42496	0159.AA34.42496.20200908.SAL	NA
m42497	0159.AA34.42497.20200820.SAL	NA
m42506	0159.AA34.42506.20200903.SAL	NA
m42513	0159.AA34.42513.20200729.SAL	NA
m42520	0159.AA34.42520.20200728.SAL	NA
m42521	0159.AA34.42521.20201009.SAL	NA
m42523	0159.AA34.42523.20200727.SAL	NA
m42524	0159.AA34.42524.20200802.SAL	NA
m42526	0159.AA34.42526.20200828.SAL	NA
m76002	0159.AC15.76002.20200720.SAL	NA
m76041	0159.AC15.76041.20200715.SAL	NA
m76049	0159.AC15.76049.20200718.SAL	NA
m71010	0159.AK37.71010.20200715.SAL	NA
m71011	0159.AK37.71011.20200708.SAL	NA
m71023	0159.AK37.71023.20200702.SAL	NA
m71037	0159.AK37.71037.20200727.SAL	NA
m71040	0159.AK37.71040.20200726.SAL	NA
m71041	0159.AK37.71041.20200723.SAL	NA
m71048	0159.AK37.71048.20200717.SAL	NA
m71062	0159.AK37.71062.20200721.SAL	NA
m71073	0159.AK37.71073.20200726.SAL	NA
m10110	0159.AQ29.10110.20200803.SAL	0159.AQ11.10110.20180730.SAL
m10431	0159.AQ22.10431.20200910.SAL	0159.AQ22.10431.20191023.SAL
m10436	0159.AQ22.10436.20201021.SAL	0159.AQ22.10436.20191028.SAL
m10455	0159.AQ22.10455.20200915.SAL	NA
m10468	0159.AQ22.10468.20200903.SAL	0159.AQ22.10468.20200218.SAL
m10002	0159.AQ29.10002.20200811.SAL	NA
m10003	0159.AQ29.10003.20200729.SAL	NA
m10011	0159.AQ29.10011.20200727.SAL	NA
m10012	0159.AQ29.10012.20200722.SAL	NA
m10013	0159.AQ29.10013.20200712.SAL	0159.AQ29.10013.20170830.SAL
m10017	0159.AQ29.10017.20200707.SAL	0159.AQ29.10017.20170912.SAL
m10020	0159.AQ29.10020.20200803.SAL	0159.AQ29.10020.20170920.SAL
m10021	0159.AQ29.10021.20200722.SAL	0159.AQ29.10021.20170921.SAL
m10022	0159.AQ29.10022.20200727.SAL	NA
m10030	0159.AQ29.10030.20200710.SAL	0159.AQ29.10030.20171016.SAL
m10036	0159.AQ29.10036.20200717.SAL	NA
m10041	0159.AQ29.10041.20200729.SAL	0159.AQ29.10041.20171121.SAL
m10047	0159.AQ29.10047.20200713.SAL	0159.AQ29.10047.20171219.SAL
m10052	0159.AQ29.10052.20200826.SAL	0159.AQ29.10052.20180117.SAL
m10060	0159.AQ29.10060.20200715.SAL	0159.AQ29.10060.20180130.SAL
m10066	0159.AQ29.10066.20200729.SAL	0159.AQ29.10066.20180305.SAL
m10067	0159.AQ29.10067.20200924.SAL	0159.AQ29.10067.20180319.SAL
m10073	0159.AQ29.10073.20200729.SAL	0159.AQ29.10073.20180402.SAL
m10077	0159.AQ29.10077.20200724.SAL	NA
m10080	0159.AQ29.10080.20200719.SAL	0159.AQ29.10080.20180419.SAL
m10081	0159.AQ29.10081.20200722.SAL	0159.AQ29.10081.20180423.SAL
m10082	0159.AQ29.10082.20200804.SAL	0159.AQ29.10082.20180426.SAL
m10083	0159.AQ29.10083.20200825.SAL	0159.AQ29.10083.20180501.SAL
m10092	0159.AQ29.10092.20200906.SAL	0159.AQ29.10092.20180607.SAL
m10093	0159.AQ29.10093.20200806.SAL	0159.AQ29.10093.20180608.SAL
m10104	0159.AQ29.10104.20200726.SAL	0159.AQ29.10104.20180709.SAL
m10105	0159.AQ29.10105.20200728.SAL	0159.AQ29.10105.20180712.SAL
m10106	0159.AQ29.10106.20200831.SAL	0159.AQ29.10106.20180713.SAL
m10111	0159.AQ29.10111.20200726.SAL	0159.AQ29.10111.20180802.SAL
m10112	0159.AQ29.10112.20200802.SAL	0159.AQ29.10112.20180803.SAL
m10114	0159.AQ29.10114.20200811.SAL	0159.AQ29.10114.20180816.SAL
m10122	0159.AQ29.10122.20200719.SAL	0159.AQ29.10122.20180921.SAL
m10123	0159.AQ29.10123.20200920.SAL	NA
m10128	0159.AQ29.10128.20200905.SAL	0159.AQ29.10128.20181016.SAL
m10137	0159.AQ29.10137.20200726.SAL	0159.AQ29.10137.20190114.SAL
m10142	0159.AQ29.10142.20200708.SAL	0159.AQ29.10142.20190318.SAL
m10143	0159.AQ29.10143.20200810.SAL	0159.AQ29.10143.20190329.SAL
m10146	0159.AQ29.10146.20200709.SAL	NA
m10148	0159.AQ29.10148.20200711.SAL	0159.AQ29.10148.20190611.SAL
m10149	0159.AQ29.10149.20200825.SAL	0159.AQ29.10149.20190729.SAL
m10151	0159.AQ29.10151.20200825.SAL	0159.AQ29.10151.20190729.SAL
m10154	0159.AQ29.10154.20200720.SAL	NA
m40003	0159.AS41.40003.20200819.SAL	0159.AS41.40003.20171127.SAL
m40006	0159.AS41.40006.20200809.SAL	0159.AS41.40006.20171130.SAL
m40011	0159.AS41.40011.20201012.SAL	NA
m40019	0159.AS41.40019.20200811.SAL	0159.AS41.40019.20180130.SAL
m40020	0159.AS41.40020.20200819.SAL	0159.AS41.40020.20180109.SAL
m40030	0159.AS41.40030.20200820.SAL	0159.AS41.40030.20190611.SAL
m40032	0159.AS41.40032.20200823.SAL	0159.AS41.40032.20190314.SAL
m40037	0159.AS41.40037.20200810.SAL	0159.AS41.40037.20190312.SAL
m40038	0159.AS41.40038.20201017.SAL	0159.AS41.40038.20190305.SAL
m40041	0159.AS41.40041.20200817.SAL	0159.AS41.40041.20180327.SAL
m40042	0159.AS41.40042.20200815.SAL	NA
m40043	0159.AS41.40043.20200809.SAL	0159.AS41.40043.20180423.SAL
m40045	0159.AS41.40045.20201013.SAL	0159.AS41.40045.20180403.SAL
m40048	0159.AS41.40048.20200813.SAL	0159.AS41.40048.20181120.SAL
m40049	0159.AS41.40049.20200902.SAL	0159.AS41.40049.20181102.SAL
m40050	0159.AS41.40050.20200902.SAL	0159.AS41.40050.20181102.SAL
m40058	0159.AS41.40058.20201013.SAL	0159.AS41.40058.20180619.SAL
m40071	0159.AS41.40071.20200815.SAL	0159.AS41.40071.20190430.SAL
m40072	0159.AS41.40072.20200820.SAL	0159.AS41.40072.20190409.SAL
m40075	0159.AS41.40075.20200811.SAL	0159.AS41.40075.20190604.SAL
m40082	0159.AS41.40082.20200811.SAL	0159.AS41.40082.20190611.SAL
m40089	0159.AS41.40089.20200814.SAL	0159.AS41.40089.20190723.SAL
m40097	0159.AS41.40097.20200812.SAL	0159.AS41.40097.20191022.SAL
m40099	0159.AS41.40099.20200814.SAL	0159.AS41.40099.20191029.SAL
m40101	0159.AS41.40101.20200829.SAL	0159.AS41.40101.20191107.SAL
m40102	0159.AS41.40102.20200828.SAL	0159.AS41.40102.20191107.SAL
m40103	0159.AS41.40103.20200819.SAL	0159.AS41.40103.20200114.SAL
m33003	0159.AY44.33003.20200908.SAL	NA
m33005	0159.AY44.33005.20200902.SAL	NA
m33007	0159.AY44.33007.20200829.SAL	NA
m33026	0159.AY44.33026.20200821.SAL	NA
m33028	0159.AY44.33028.20200803.SAL	NA
m33030	0159.AY44.33030.20200808.SAL	NA
m33032	0159.AY44.33032.20201013.SAL	NA
m33034	0159.AY44.33034.20200808.SAL	NA
m33038	0159.AY44.33038.20200809.SAL	NA
m33041	0159.AY44.33041.20200902.SAL	NA
m33042	0159.AY44.33042.20200831.SAL	NA
m33043	0159.AY44.33043.20200805.SAL	NA
m33046	0159.AY44.33046.20200903.SAL	NA
m33051	0159.AY44.33051.20201010.SAL	NA
m33055	0159.AY44.33055.20201021.SAL	NA
m33056	0159.AY44.33056.20200823.SAL	NA
